Symbol,Side,Cxl,Qty,Price,Bid,Ask,T-Dat,S-Dat,TradeID,Trade,TiSS,Exbkr,TradeCommType,Source,Commission,Account,OrderID,GTL,TrailerInfo,Clr
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,23,479448,473640
S,SS,NEW,700,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,23,479451,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,23,479455,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,25,479635,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,28,480073,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,28,480085,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,28,480094,473640
S,SS,NEW,400,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,28,480100,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,28,480108,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,28,480115,473640
S,SS,NEW,300,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,28,480121,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,28,480159,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480297,473640
S,SS,NEW,300,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480306,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480315,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480324,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480327,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480331,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480336,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480365,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,29,480367,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,30,480413,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,31,480550,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481117,473640
S,SS,NEW,300,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481126,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481137,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481144,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481150,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481154,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481159,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481175,473640
S,SS,NEW,200,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,34,481177,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,35,481337,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,39,481907,473640
S,SS,NEW,100,8.210000,8.210000,8.220000,06/19/17,06/14/17,1706149900004,11:19:Contra,SSFREX,0704,PerUnit,TERM,0.030000,EEFFGG,#STA=MSCO,39,481915,473640
